[12, 52, 16, 658]
[13, 51, 15, 658]
[11, 50, 14, 657]
[15, 54, 17, 660]
[13, 52, 15, 658]
[15, 54, 17, 657]
[12, 52, 15, 657]
[13, 52, 15, 657]
[13, 53, 17, 660]
[10, 51, 15, 659]
[11, 54, 15, 660]
[12, 53, 14, 659]
[14, 59, 16, 660]
[17, 59, 18, 660]
[15, 58, 18, 660]
[15, 55, 16, 659]
[13, 55, 18, 659]
[13, 54, 16, 658]
[15, 56, 16, 659]
[12, 54, 16, 658]
[11, 54, 15, 658]
[10, 53, 15, 658]
[13, 52, 17, 659]
[12, 52, 16, 658]
[11, 49, 14, 657]
[10, 49, 14, 657]
[14, 52, 16, 659]
[12, 50, 14, 657]
[17, 54, 17, 660]
[11, 54, 14, 660]
[10, 49, 16, 660]
[10, 48, 14, 658]
[14, 51, 16, 660]
[11, 48, 14, 658]
[11, 48, 14, 658]
[11, 49, 15, 658]
[14, 52, 15, 659]
[14, 53, 18, 659]
[14, 55, 18, 660]
[12, 53, 16, 658]
[13, 54, 18, 659]
[15, 56, 17, 660]
[15, 56, 16, 659]
[13, 53, 16, 658]
[12, 52, 18, 659]
[11, 53, 16, 659]
[11, 53, 16, 658]
[15, 54, 16, 659]
[16, 54, 17, 660]
[13, 52, 15, 659]
[13, 57, 15, 659]
[12, 56, 13, 658]
[13, 56, 15, 659]
[14, 55, 16, 659]
[13, 55, 15, 659]
[14, 58, 17, 659]
[16, 57, 18, 660]
[14, 55, 17, 659]
[15, 55, 16, 659]
[12, 54, 16, 658]
[15, 55, 17, 660]
[11, 51, 15, 658]
[12, 57, 16, 659]
[18, 59, 17, 660]
[16, 58, 18, 660]
[16, 56, 18, 660]
[15, 51, 16, 660]
[14, 50, 15, 659]
[12, 53, 16, 658]
[14, 53, 15, 659]
[13, 54, 16, 659]
[14, 58, 17, 660]
[12, 56, 15, 659]
[13, 52, 15, 659]
[13, 53, 17, 659]
[14, 54, 17, 659]
[15, 54, 17, 659]
[15, 52, 15, 659]
[14, 54, 17, 659]
[15, 55, 15, 659]
[16, 56, 17, 660]
[14, 56, 18, 659]
[15, 59, 15, 659]
[13, 51, 15, 658]
[11, 51, 15, 658]
[9, 48, 13, 658]
[14, 52, 16, 659]
[12, 50, 15, 658]
[14, 53, 17, 660]
[13, 52, 16, 659]
[12, 52, 16, 658]
[14, 55, 16, 659]
[16, 56, 17, 660]
[14, 55, 17, 659]
[13, 53, 15, 658]
[12, 53, 15, 659]
[16, 60, 16, 659]
[19, 60, 19, 660]
[15, 57, 19, 657]
[14, 55, 17, 657]
