[16, 20, 20, 657]
[18, 23, 21, 658]
[17, 23, 22, 658]
[15, 21, 21, 657]
[16, 20, 19, 656]
[18, 23, 21, 658]
[16, 21, 20, 657]
[18, 22, 20, 658]
[17, 21, 19, 657]
[18, 23, 20, 658]
[16, 22, 21, 657]
[18, 23, 21, 658]
[17, 21, 20, 657]
[17, 21, 20, 657]
[15, 22, 21, 657]
[16, 20, 19, 657]
[17, 23, 21, 658]
[14, 20, 20, 656]
[16, 20, 19, 657]
[15, 21, 21, 657]
[17, 22, 21, 658]
[18, 21, 20, 658]
[17, 22, 22, 658]
[15, 20, 20, 656]
[14, 19, 19, 656]
[16, 20, 19, 658]
[15, 19, 19, 656]
[17, 22, 20, 657]
[18, 23, 20, 658]
[15, 20, 20, 657]
[16, 21, 21, 657]
[17, 21, 20, 657]
[17, 23, 21, 658]
[14, 19, 19, 656]
[15, 20, 20, 657]
[15, 20, 19, 657]
[17, 21, 20, 658]
[17, 21, 21, 658]
[15, 21, 20, 657]
[17, 23, 22, 659]
[17, 21, 19, 658]
[17, 22, 20, 658]
[18, 23, 22, 659]
[15, 20, 20, 657]
[14, 19, 19, 656]
[17, 22, 20, 658]
[17, 23, 22, 658]
[17, 22, 22, 658]
[19, 23, 22, 659]
[17, 22, 21, 658]
[19, 22, 21, 659]
[15, 20, 19, 657]
[16, 21, 19, 657]
[15, 21, 21, 657]
[15, 21, 21, 657]
[16, 23, 23, 658]
[17, 23, 22, 658]
[18, 22, 21, 658]
[16, 21, 21, 657]
[16, 23, 23, 658]
[17, 22, 21, 658]
[17, 22, 21, 658]
[17, 23, 21, 658]
[16, 22, 22, 657]
[17, 22, 23, 658]
[18, 23, 21, 658]
[18, 23, 22, 658]
[18, 22, 21, 658]
[15, 21, 21, 657]
[17, 23, 22, 658]
[15, 21, 21, 657]
[15, 21, 21, 657]
[17, 23, 21, 658]
[13, 19, 20, 656]
[13, 21, 21, 657]
[12, 19, 19, 656]
[14, 22, 23, 658]
[16, 23, 22, 658]
[15, 20, 21, 657]
[17, 21, 22, 658]
[17, 22, 23, 658]
[18, 23, 22, 658]
[18, 24, 23, 658]
[18, 24, 23, 658]
[18, 24, 22, 658]
[18, 24, 22, 658]
[17, 21, 21, 657]
[17, 22, 22, 657]
[16, 21, 21, 657]
[18, 23, 22, 658]
[16, 23, 21, 658]
[16, 21, 20, 657]
[17, 21, 21, 658]
[18, 23, 21, 658]
[19, 23, 22, 659]
[18, 23, 23, 658]
[16, 22, 22, 657]
[18, 21, 20, 658]
[18, 24, 23, 658]
[18, 23, 21, 658]
